Voltaje,RPM,Porcentaje (normal),rpm (normal),Porcentaje (kilohertz),rpm (kilohertz)
0.5,366,83.6752988,3260,26.68067227,968
0.8,893,88.27292111,3200,29.65931864,1156
1,1155,81.05906314,3200,31.38832998,1250
1.2,1316,78.02419355,3156,34.94949495,1450
1.4,1640,73.64185111,3142,38.86639676,1636
1.6,1946,70.54108216,3123,42.79918864,1811
1.8,2158,66.86868687,3050,47.9757085,2026
2,2405,64.90872211,3044,51.91919192,2176
2.2,2723,61.36820926,2934,57.42971888,2354
2.3,2800,58.46774194,2900,64,2521
2.4,2983,56.2145749,2895,69.60784314,2655
2.5,3085,53.85395538,2840,73.74517375,2759
2.6,3200,50.6122449,2761,73.69477912,2738
2.7,3369,46.43584521,2665,83.49900596,2910
2.8,3435,42.76985743,2594,,
2.9,3653,40.32586558,2521,,
3,3658,37.60162602,2439,,
3.1,3766,35.09127789,2366,,
3.2,4016,32.59109312,2250,,
3.3,4095,30.56680162,2168,,
3.4,4342,28.88888889,2075,,
3.5,4488,25.15090543,1837,,
3.6,4548,22.84569138,1619,,
3.7,4656,19.92031873,1327,,
3.8,4817,18.05555556,1190,,
3.9,4922,15.03006012,600,,
4,5024,,,,
4.1,5184,,,,
4.2,5212,,,,
4.3,7470,,,,
